"id","version","sizeInByte","platform","publisher","deviceCount","displayName"
"1e581e24aefdddb866f5b5a5d7fe56b85fd17437f04f0f7fd8e4406643d36620","2.5.7.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.RawImageExtension"
"4745a128c6e55a3b57646317c9bfa23209c11b5e0ae98731b828c5cfca781017","2022.2511.47.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.ScreenSketch"
"e37c4417d8d641e78a578f6a168f344e57f8ed2410e8135ca7313c1908791c7a","1000.29510.1001.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.SecHealthUI"
"ff8cc9b9c812a3a59b6f6f6e159863bde2b7fd8effedc324007c4688edd5ebb1","22512.1401.1.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.StorePurchaseApp"
"b40d52e865b7b40087263ae8da178e6c150ebfce31b290c103e205d732aad2a3","8.2501.31001.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.UI.Xaml.2.8"
"2a6421f9547896ca091bfd39139cd02f14a9c4cc136e85202d7ee222ff81bbe8","14.0.33519.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.VCLibs.140.00"
"15e130c26ecf9fd018776924518e6d1570bbac0ed44dbe17c06ede8b4518f564","14.0.33728.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.VCLibs.140.00.UWPDesktop"
"19a4870a4810ea1506e7c41202dd7472d4ca7f743d2069987c8754b0608e5f78","1.2.12.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.VP9VideoExtensions"
"170771668fafee8d2ee84381a08d00525dcb6bb9784069eb261bcbe9d0f710a5","2.1.20.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WebMediaExtensions"
"5f2690c32941760b4791fcaf32582e5a36c6f1272729c548d38c39bf783166b8","1.2.14.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WebpImageExtension"
"48f535ee70ce19e80b967283c0a533139bf0080b8936832ae742e7ea8abb113b","1.6.14.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WidgetsPlatformRuntime"
"150e7fbf4987fb73d291cdaf4d89fc0424007b310e88bc3dba4c2800ede38f61","2025.11120.5001.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.Windows.Photos"
"53bd2bd69170df81bcbe8d190d6393f936a5314143d4326b7b252b9e01afad40","5001.373.1736.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsAppRuntime.1.5"
"d18f609fb27e578f8861b71429799e5f6508ff29b75fe8d55d1ad5d06dc07a29","6000.519.329.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsAppRuntime.1.6"
"f0f56704492796bfcb401423b1dc530e24a9c70024f1e0b4980318062bfb0952","7000.770.750.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsAppRuntime.1.7"
"cf16d4502df4b67d7ef702b4418d8076f68ac6865288b9d8f6faf16796c1006e","8000.770.947.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsAppRuntime.1.8"
"dc4ead7fab0e40327ca8ac301f081db72d8c07882cce2de9002e0be335639fa2","2021.2508.4.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsCalculator"
"4a823b0b6dadafdc78c435393e1f233ffd4fef1c231d91121e255df4181e7d9e","2025.2510.2.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsCamera"
"69f219c5338c289a6b3230e6e8b111e52b4d4bece0687ad05ea69e20cdae9be6","11.2510.14.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsNotepad"
"d3d35f0eb806065f515ee6434c072cb7ab9da14be0452ac9b48973f141a1fa6e","22512.1401.6.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsStore"
"a34611935d4a72e7d07ad0ed97e07cae27289be13008d6ceb4fae608bb8274f1","3001.23.20211.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.WindowsTerminal"
"1cc754509796edf87d32c7b1a438e5c3302dd8f5e0f6d1315f42603f0a1f4e7e","1.26011.42.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.YourPhone"
"0d55319400317456397e6b11763ff08cd2fab433c929dc416905cb18a7a73136","11.2512.10.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","Microsoft.ZuneMusic"
"d493e8ca2e302549dfc046479f399f46614938bbe05de9a17e2b79b6263cbca1","526.1202.40.0","0","windows","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","MicrosoftWindows.Client.WebExperience"
"f2242a58a12b5161564a9d0641144924c1db1c0087e10d08544506fa48114ca6","1.26011.30.0","0","windows","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","MicrosoftWindows.CrossDevice"
"a14976ee1685ec2e916282667d70f9d567c7ddcc13b0a36ad8eb910ed3952bbe","0.20.41.0","0","windows","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","1","aimgr"
