"subscriptionIds","accountName","id","capabilityStatus","appliesTo","skuId","consumedUnits","skuPartNumber","prepaidUnits","servicePlans","accountId"
"65688dac-6fec-4852-aadc-e0a5869d7fbb","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","Enabled","User","b126b073-72db-4a9d-87a4-b17afe41d4ab","1","MDATP_XPLAT","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":1}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"d06ac848-6513-4f1d-81ed-306b3bc84541","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","Enabled","User","f30db892-07e9-47e9-837c-80727f46fd3d","1","FLOW_FREE","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":10000}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","Enabled","User","606b54a9-78d8-4298-ad8b-df6ef4481c80","1","CCIBOTS_PRIVPREV_VIRAL","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":10000}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"cb4003c6-7fa4-4492-b71d-d50634f5dfec","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","Enabled","User","c42b9cae-ea4f-4ab7-9717-81576235ccac","19","DEVELOPERPACK_E5","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":25}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","Enabled","User","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","1","SharePoint_advanced_management_plan_1","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":25}","System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"89fd2823-e2fd-4e0f-be83-7cdb21ced92b","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","Enabled","User","3b555118-da6a-4418-894f-7df1e2096870","0","O365_BUSINESS_ESSENTIALS","{""warning"":0,""suspended"":0,""lockedOut"":0,""enabled"":25}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
"552ed7cb-605e-4249-a9e0-4e4fdf98f19e","mycloudofficedev","33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","Suspended","User","f9602137-2203-447b-9fff-41b36e08ce5d","1","Microsoft_Entra_Suite","{""warning"":0,""suspended"":25,""lockedOut"":0,""enabled"":0}","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f"
