"servicePlans","appliesTo","accountId","subscriptionIds","prepaidUnits","capabilityStatus","id","skuPartNumber","accountName","consumedUnits","skuId"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","65688dac-6fec-4852-aadc-e0a5869d7fbb","{""lockedOut"":0,""warning"":0,""suspended"":1,""enabled"":0}","Suspended","33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","MDATP_XPLAT","mycloudofficedev","1","b126b073-72db-4a9d-87a4-b17afe41d4ab"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","d06ac848-6513-4f1d-81ed-306b3bc84541","{""lockedOut"":0,""warning"":0,""suspended"":0,""enabled"":10000}","Enabled","33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","FLOW_FREE","mycloudofficedev","1","f30db892-07e9-47e9-837c-80727f46fd3d"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","{""lockedOut"":0,""warning"":0,""suspended"":0,""enabled"":10000}","Enabled","33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","CCIBOTS_PRIVPREV_VIRAL","mycloudofficedev","1","606b54a9-78d8-4298-ad8b-df6ef4481c80"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","cb4003c6-7fa4-4492-b71d-d50634f5dfec","{""lockedOut"":0,""warning"":0,""suspended"":0,""enabled"":25}","Enabled","33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","mycloudofficedev","19","c42b9cae-ea4f-4ab7-9717-81576235ccac"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","4f199f43-b3ed-424c-b056-53de8e35a66f","{""lockedOut"":0,""warning"":0,""suspended"":25,""enabled"":0}","Suspended","33a9ca10-7495-4979-a097-cbdf74c7686f_796a6fb4-740b-4d36-bf56-9c12ca7fa069","AGENT_365","mycloudofficedev","1","796a6fb4-740b-4d36-bf56-9c12ca7fa069"
"System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","{""lockedOut"":0,""warning"":0,""suspended"":25,""enabled"":0}","Suspended","33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","SharePoint_advanced_management_plan_1","mycloudofficedev","1","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","89fd2823-e2fd-4e0f-be83-7cdb21ced92b","{""lockedOut"":0,""warning"":0,""suspended"":25,""enabled"":0}","Suspended","33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","O365_BUSINESS_ESSENTIALS","mycloudofficedev","0","3b555118-da6a-4418-894f-7df1e2096870"
"System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","User","33a9ca10-7495-4979-a097-cbdf74c7686f","552ed7cb-605e-4249-a9e0-4e4fdf98f19e","{""lockedOut"":0,""warning"":0,""suspended"":25,""enabled"":0}","Suspended","33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","Microsoft_Entra_Suite","mycloudofficedev","1","f9602137-2203-447b-9fff-41b36e08ce5d"
