"id","prepaidUnits","appliesTo","skuPartNumber","accountName","skuId","subscriptionIds","consumedUnits","accountId","capabilityStatus","servicePlans"
"33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","{""lockedOut"":0,""enabled"":1,""suspended"":0,""warning"":0}","User","MDATP_XPLAT","mycloudofficedev","b126b073-72db-4a9d-87a4-b17afe41d4ab","65688dac-6fec-4852-aadc-e0a5869d7fbb","1","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","{""lockedOut"":0,""enabled"":10000,""suspended"":0,""warning"":0}","User","FLOW_FREE","mycloudofficedev","f30db892-07e9-47e9-837c-80727f46fd3d","d06ac848-6513-4f1d-81ed-306b3bc84541","1","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","{""lockedOut"":0,""enabled"":10000,""suspended"":0,""warning"":0}","User","CCIBOTS_PRIVPREV_VIRAL","mycloudofficedev","606b54a9-78d8-4298-ad8b-df6ef4481c80","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","1","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","{""lockedOut"":0,""enabled"":25,""suspended"":0,""warning"":0}","User","DEVELOPERPACK_E5","mycloudofficedev","c42b9cae-ea4f-4ab7-9717-81576235ccac","cb4003c6-7fa4-4492-b71d-d50634f5dfec","19","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","{""lockedOut"":0,""enabled"":25,""suspended"":0,""warning"":0}","User","SharePoint_advanced_management_plan_1","mycloudofficedev","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","1","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","{""lockedOut"":0,""enabled"":25,""suspended"":0,""warning"":0}","User","O365_BUSINESS_ESSENTIALS","mycloudofficedev","3b555118-da6a-4418-894f-7df1e2096870","89fd2823-e2fd-4e0f-be83-7cdb21ced92b","0","33a9ca10-7495-4979-a097-cbdf74c7686f","Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
"33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","{""lockedOut"":0,""enabled"":0,""suspended"":25,""warning"":0}","User","Microsoft_Entra_Suite","mycloudofficedev","f9602137-2203-447b-9fff-41b36e08ce5d","552ed7cb-605e-4249-a9e0-4e4fdf98f19e","1","33a9ca10-7495-4979-a097-cbdf74c7686f","Suspended","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable"
