"id","consumedUnits","capabilityStatus","skuPartNumber","prepaidUnits","accountName","subscriptionIds","servicePlans","skuId","appliesTo","accountId"
"33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","1","Suspended","MDATP_XPLAT","{""lockedOut"":0,""suspended"":1,""warning"":0,""enabled"":0}","mycloudofficedev","65688dac-6fec-4852-aadc-e0a5869d7fbb","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","b126b073-72db-4a9d-87a4-b17afe41d4ab","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","1","Enabled","FLOW_FREE","{""lockedOut"":0,""suspended"":0,""warning"":0,""enabled"":10000}","mycloudofficedev","d06ac848-6513-4f1d-81ed-306b3bc84541","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","f30db892-07e9-47e9-837c-80727f46fd3d","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","1","Enabled","CCIBOTS_PRIVPREV_VIRAL","{""lockedOut"":0,""suspended"":0,""warning"":0,""enabled"":10000}","mycloudofficedev","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","606b54a9-78d8-4298-ad8b-df6ef4481c80","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","19","Enabled","DEVELOPERPACK_E5","{""lockedOut"":0,""suspended"":0,""warning"":0,""enabled"":25}","mycloudofficedev","cb4003c6-7fa4-4492-b71d-d50634f5dfec","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","c42b9cae-ea4f-4ab7-9717-81576235ccac","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_796a6fb4-740b-4d36-bf56-9c12ca7fa069","1","Enabled","AGENT_365","{""lockedOut"":0,""suspended"":0,""warning"":0,""enabled"":25}","mycloudofficedev","4f199f43-b3ed-424c-b056-53de8e35a66f","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","796a6fb4-740b-4d36-bf56-9c12ca7fa069","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","1","Suspended","SharePoint_advanced_management_plan_1","{""lockedOut"":0,""suspended"":25,""warning"":0,""enabled"":0}","mycloudofficedev","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","System.Collections.Hashtable","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","0","Suspended","O365_BUSINESS_ESSENTIALS","{""lockedOut"":0,""suspended"":25,""warning"":0,""enabled"":0}","mycloudofficedev","89fd2823-e2fd-4e0f-be83-7cdb21ced92b","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","3b555118-da6a-4418-894f-7df1e2096870","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
"33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","1","Suspended","Microsoft_Entra_Suite","{""lockedOut"":0,""suspended"":25,""warning"":0,""enabled"":0}","mycloudofficedev","552ed7cb-605e-4249-a9e0-4e4fdf98f19e","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","f9602137-2203-447b-9fff-41b36e08ce5d","User","33a9ca10-7495-4979-a097-cbdf74c7686f"
