"capabilityStatus","servicePlans","accountId","skuId","consumedUnits","skuPartNumber","prepaidUnits","appliesTo","subscriptionIds","id","accountName"
"Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","b126b073-72db-4a9d-87a4-b17afe41d4ab","1","MDATP_XPLAT","{""enabled"":1,""suspended"":0,""lockedOut"":0,""warning"":0}","User","65688dac-6fec-4852-aadc-e0a5869d7fbb","33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","mycloudofficedev"
"Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","f30db892-07e9-47e9-837c-80727f46fd3d","1","FLOW_FREE","{""enabled"":10000,""suspended"":0,""lockedOut"":0,""warning"":0}","User","d06ac848-6513-4f1d-81ed-306b3bc84541","33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","mycloudofficedev"
"Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","606b54a9-78d8-4298-ad8b-df6ef4481c80","1","CCIBOTS_PRIVPREV_VIRAL","{""enabled"":10000,""suspended"":0,""lockedOut"":0,""warning"":0}","User","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","mycloudofficedev"
"Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","c42b9cae-ea4f-4ab7-9717-81576235ccac","19","DEVELOPERPACK_E5","{""enabled"":25,""suspended"":0,""lockedOut"":0,""warning"":0}","User","cb4003c6-7fa4-4492-b71d-d50634f5dfec","33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","mycloudofficedev"
"Enabled","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","796a6fb4-740b-4d36-bf56-9c12ca7fa069","1","AGENT_365","{""enabled"":25,""suspended"":0,""lockedOut"":0,""warning"":0}","User","4f199f43-b3ed-424c-b056-53de8e35a66f","33a9ca10-7495-4979-a097-cbdf74c7686f_796a6fb4-740b-4d36-bf56-9c12ca7fa069","mycloudofficedev"
"Suspended","System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","1","SharePoint_advanced_management_plan_1","{""enabled"":0,""suspended"":25,""lockedOut"":0,""warning"":0}","User","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","mycloudofficedev"
"Suspended","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","3b555118-da6a-4418-894f-7df1e2096870","0","O365_BUSINESS_ESSENTIALS","{""enabled"":0,""suspended"":25,""lockedOut"":0,""warning"":0}","User","89fd2823-e2fd-4e0f-be83-7cdb21ced92b","33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","mycloudofficedev"
"Suspended","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","33a9ca10-7495-4979-a097-cbdf74c7686f","f9602137-2203-447b-9fff-41b36e08ce5d","1","Microsoft_Entra_Suite","{""enabled"":0,""suspended"":25,""lockedOut"":0,""warning"":0}","User","552ed7cb-605e-4249-a9e0-4e4fdf98f19e","33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","mycloudofficedev"
