"accountId","prepaidUnits","capabilityStatus","skuPartNumber","id","subscriptionIds","accountName","servicePlans","skuId","appliesTo","consumedUnits"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":1,""suspended"":0,""warning"":0}","Enabled","MDATP_XPLAT","33a9ca10-7495-4979-a097-cbdf74c7686f_b126b073-72db-4a9d-87a4-b17afe41d4ab","65688dac-6fec-4852-aadc-e0a5869d7fbb","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","b126b073-72db-4a9d-87a4-b17afe41d4ab","User","1"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":10000,""suspended"":0,""warning"":0}","Enabled","FLOW_FREE","33a9ca10-7495-4979-a097-cbdf74c7686f_f30db892-07e9-47e9-837c-80727f46fd3d","d06ac848-6513-4f1d-81ed-306b3bc84541","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","f30db892-07e9-47e9-837c-80727f46fd3d","User","1"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":10000,""suspended"":0,""warning"":0}","Enabled","CCIBOTS_PRIVPREV_VIRAL","33a9ca10-7495-4979-a097-cbdf74c7686f_606b54a9-78d8-4298-ad8b-df6ef4481c80","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","606b54a9-78d8-4298-ad8b-df6ef4481c80","User","1"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":25,""suspended"":0,""warning"":0}","Enabled","DEVELOPERPACK_E5","33a9ca10-7495-4979-a097-cbdf74c7686f_c42b9cae-ea4f-4ab7-9717-81576235ccac","cb4003c6-7fa4-4492-b71d-d50634f5dfec","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","c42b9cae-ea4f-4ab7-9717-81576235ccac","User","19"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":25,""suspended"":0,""warning"":0}","Enabled","AGENT_365","33a9ca10-7495-4979-a097-cbdf74c7686f_796a6fb4-740b-4d36-bf56-9c12ca7fa069","4f199f43-b3ed-424c-b056-53de8e35a66f","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","796a6fb4-740b-4d36-bf56-9c12ca7fa069","User","1"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":0,""suspended"":25,""warning"":0}","Suspended","SharePoint_advanced_management_plan_1","33a9ca10-7495-4979-a097-cbdf74c7686f_6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6","mycloudofficedev","System.Collections.Hashtable","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","User","1"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":0,""suspended"":25,""warning"":0}","Suspended","O365_BUSINESS_ESSENTIALS","33a9ca10-7495-4979-a097-cbdf74c7686f_3b555118-da6a-4418-894f-7df1e2096870","89fd2823-e2fd-4e0f-be83-7cdb21ced92b","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","3b555118-da6a-4418-894f-7df1e2096870","User","0"
"33a9ca10-7495-4979-a097-cbdf74c7686f","{""lockedOut"":0,""enabled"":0,""suspended"":25,""warning"":0}","Suspended","Microsoft_Entra_Suite","33a9ca10-7495-4979-a097-cbdf74c7686f_f9602137-2203-447b-9fff-41b36e08ce5d","552ed7cb-605e-4249-a9e0-4e4fdf98f19e","mycloudofficedev","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","f9602137-2203-447b-9fff-41b36e08ce5d","User","1"
