"skuPartNumber","ownerId","serviceStatus","nextLifecycleDateTime","status","createdDateTime","ownerTenantId","ownerType","skuId","totalLicenses","commerceSubscriptionId","isTrial","id"
"MDATP_XPLAT","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","07/23/2026 00:00:00","Enabled","11/24/2025 12:08:46","","","b126b073-72db-4a9d-87a4-b17afe41d4ab","1","0d80414d-b0d0-4dcb-bdca-4d3483e0b281","False","65688dac-6fec-4852-aadc-e0a5869d7fbb"
"FLOW_FREE","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","","Enabled","09/23/2025 09:51:41","","","f30db892-07e9-47e9-837c-80727f46fd3d","10000","f30db892-07e9-47e9-837c-80727f46fd3d","False","d06ac848-6513-4f1d-81ed-306b3bc84541"
"CCIBOTS_PRIVPREV_VIRAL","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","","Enabled","09/23/2025 09:41:43","","","606b54a9-78d8-4298-ad8b-df6ef4481c80","10000","606b54a9-78d8-4298-ad8b-df6ef4481c80","False","d3f8b6c5-2ae9-4fff-bb0a-7d3fc5cc1f5a"
"DEVELOPERPACK_E5","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","08/04/2026 23:59:59","Enabled","08/03/2020 00:00:00","","","c42b9cae-ea4f-4ab7-9717-81576235ccac","25","5390efcd-37e1-4822-82d0-0794a9b88027","True","cb4003c6-7fa4-4492-b71d-d50634f5dfec"
"SharePoint_advanced_management_plan_1","","System.Collections.Hashtable","06/27/2026 10:56:08","Enabled","05/29/2026 10:56:08","","","6ee9b90c-0a7a-46c4-bc96-6698aa3bf8d2","25","b99bb299-e443-47d9-8507-cb4d253f7f31","True","bb5c3f8d-2b12-401e-84b7-10b5fe72d4d6"
"O365_BUSINESS_ESSENTIALS","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","06/27/2026 10:54:39","Enabled","05/29/2026 10:54:39","","","3b555118-da6a-4418-894f-7df1e2096870","25","d8b09e07-5008-4db9-93c5-0bb4869eb5fc","True","89fd2823-e2fd-4e0f-be83-7cdb21ced92b"
"Microsoft_Entra_Suite","","System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable; System.Collections.Hashtable","06/05/2026 09:38:56","Suspended","05/07/2026 09:38:56","","","f9602137-2203-447b-9fff-41b36e08ce5d","25","e6dac459-f15f-4b6c-b4c5-c5043bb28208","True","552ed7cb-605e-4249-a9e0-4e4fdf98f19e"
