"conflictDeviceCount","notApplicableDeviceCount","remediatedDeviceCount","errorDeviceCount","setting","platformType","compliantDeviceCount","nonCompliantDeviceCount","settingName","unknownDeviceCount","id"
"0","0","0","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","all","2","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned"
"0","0","0","0","DefaultDeviceCompliancePolicy.RequireRemainContact","all","0","2","DefaultDeviceCompliancePolicy.RequireRemainContact","0","DefaultDeviceCompliancePolicy.RequireRemainContact"
"0","0","0","0","DefaultDeviceCompliancePolicy.RequireUserExistence","all","2","0","DefaultDeviceCompliancePolicy.RequireUserExistence","0","DefaultDeviceCompliancePolicy.RequireUserExistence"
