"remediatedDeviceCount","id","compliantDeviceCount","nonCompliantDeviceCount","settingName","conflictDeviceCount","errorDeviceCount","platformType","notApplicableDeviceCount","unknownDeviceCount","setting"
"0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","2","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0","0","all","0","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned"
"0","DefaultDeviceCompliancePolicy.RequireRemainContact","0","2","DefaultDeviceCompliancePolicy.RequireRemainContact","0","0","all","0","0","DefaultDeviceCompliancePolicy.RequireRemainContact"
"0","DefaultDeviceCompliancePolicy.RequireUserExistence","2","0","DefaultDeviceCompliancePolicy.RequireUserExistence","0","0","all","0","0","DefaultDeviceCompliancePolicy.RequireUserExistence"
