"remediatedDeviceCount","notApplicableDeviceCount","setting","platformType","unknownDeviceCount","nonCompliantDeviceCount","errorDeviceCount","compliantDeviceCount","id","settingName","conflictDeviceCount"
"0","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","all","0","0","0","2","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0"
"0","0","DefaultDeviceCompliancePolicy.RequireRemainContact","all","0","2","0","0","DefaultDeviceCompliancePolicy.RequireRemainContact","DefaultDeviceCompliancePolicy.RequireRemainContact","0"
"0","0","DefaultDeviceCompliancePolicy.RequireUserExistence","all","0","0","0","2","DefaultDeviceCompliancePolicy.RequireUserExistence","DefaultDeviceCompliancePolicy.RequireUserExistence","0"
