"unknownDeviceCount","conflictDeviceCount","notApplicableDeviceCount","platformType","id","errorDeviceCount","compliantDeviceCount","remediatedDeviceCount","nonCompliantDeviceCount","setting","settingName"
"0","0","0","all","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0","2","0","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned"
"0","0","0","all","DefaultDeviceCompliancePolicy.RequireRemainContact","0","0","0","2","DefaultDeviceCompliancePolicy.RequireRemainContact","DefaultDeviceCompliancePolicy.RequireRemainContact"
"0","0","0","all","DefaultDeviceCompliancePolicy.RequireUserExistence","0","2","0","0","DefaultDeviceCompliancePolicy.RequireUserExistence","DefaultDeviceCompliancePolicy.RequireUserExistence"
