"platformType","unknownDeviceCount","id","nonCompliantDeviceCount","remediatedDeviceCount","settingName","setting","conflictDeviceCount","notApplicableDeviceCount","errorDeviceCount","compliantDeviceCount"
"all","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0","0","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","DefaultDeviceCompliancePolicy.RequireDeviceCompliancePolicyAssigned","0","0","0","2"
"all","0","DefaultDeviceCompliancePolicy.RequireRemainContact","2","0","DefaultDeviceCompliancePolicy.RequireRemainContact","DefaultDeviceCompliancePolicy.RequireRemainContact","0","0","0","0"
"all","0","DefaultDeviceCompliancePolicy.RequireUserExistence","0","0","DefaultDeviceCompliancePolicy.RequireUserExistence","DefaultDeviceCompliancePolicy.RequireUserExistence","0","0","0","2"
